ROLE,PROJECT_NAME,PROJECT_DURATION,PROJECT_CATEGORY,ALLOCATION_DURATION,ACTIVITY,MON,TUE,WED,THUR,FRI,SAT,SUN,TOTAL_WEEK_HOURS,HOURS_OVER_OR_UNDER,ATTENDANCE_REGULARIZATION,FEEDBACK_SCORE,PROJECT_START_DATE_DAY,PROJECT_START_DATE_MONTH,PROJECT_START_DATE_YEAR,PROJECT_END_DATE_DAY,PROJECT_END_DATE_MONTH,PROJECT_END_DATE_YEAR,ALLOCATION_START_DAY,ALLOCATION_START_MONTH,ALLOCATION_START_YEAR,ALLOCATION_END_DAY,ALLOCATION_END_MONTH,ALLOCATION_END_YEAR,WEEK_START_DAY,WEEK_START_MONTH,WEEK_START_YEAR,WEEK_END_DAY,WEEK_END_MONTH,WEEK_END_YEAR,project_category
2,0,14,1,14,0,6.0,11.0,4.0,8.0,11.0,12.0,12.0,64.0,24.0,0,3.1666666666666665,2023,09,05,2023,09,19,09,10,2023,23,10,2023,2024,03,25,2024,04,01,1
2,2,21,0,28,0,3.0,7.0,3.0,7.0,7.0,4.0,2.0,33.0,-7.0,1,3.5,2024,02,24,2024,03,16,18,10,2023,15,11,2023,2023,11,21,2023,11,28,0
2,2,21,0,28,1,3.0,2.0,6.0,3.0,2.0,6.0,6.0,28.0,-12.0,1,1.8333333333333333,2023,10,06,2023,10,27,18,06,2023,16,07,2023,2023,08,02,2023,08,09,0
3,2,42,0,35,2,2.0,12.0,3.0,1.0,2.0,3.0,3.0,26.0,-14.0,1,2.6666666666666665,2023,07,29,2023,09,09,15,06,2023,20,07,2023,2024,01,17,2024,01,24,0
0,2,35,0,21,2,3.0,5.0,12.0,2.0,5.0,1.0,4.0,32.0,-8.0,1,3.1666666666666665,2023,05,02,2023,06,06,30,11,2023,21,12,2023,2023,05,31,2023,06,07,0
0,2,42,0,14,2,1.0,8.0,1.0,3.0,8.0,8.0,5.0,34.0,-6.0,1,3.1666666666666665,2024,03,27,2024,05,08,21,09,2023,05,10,2023,2023,10,16,2023,10,23,0
2,0,35,0,21,2,1.0,11.0,4.0,5.0,4.0,2.0,1.0,28.0,-12.0,1,3.5,2023,05,03,2023,06,07,11,08,2023,01,09,2023,2023,04,29,2023,05,06,0
0,0,28,0,21,2,1.0,11.0,4.0,5.0,4.0,2.0,1.0,28.0,-12.0,1,2.1666666666666665,2023,07,07,2023,08,04,26,06,2023,17,07,2023,2023,04,29,2023,05,06,0
3,2,28,0,42,2,1.0,11.0,4.0,5.0,4.0,2.0,1.0,28.0,-12.0,1,3.0,2023,06,04,2023,07,02,23,03,2024,04,05,2024,2023,04,29,2023,05,06,0
1,0,28,0,28,1,1.0,3.0,8.0,11.0,5.0,3.0,11.0,42.0,2.0,0,3.6666666666666665,2023,07,23,2023,08,20,09,10,2023,06,11,2023,2023,11,14,2023,11,21,0
1,0,28,0,28,2,7.0,2.0,8.0,3.0,12.0,6.0,6.0,44.0,4.0,0,3.1666666666666665,2023,07,23,2023,08,20,09,10,2023,06,11,2023,2024,01,11,2024,01,18,0
2,0,28,0,21,2,1.0,11.0,4.0,5.0,4.0,2.0,1.0,28.0,-12.0,1,3.5,2023,07,07,2023,08,04,11,08,2023,01,09,2023,2023,04,29,2023,05,06,0
2,0,35,0,21,2,1.0,11.0,4.0,5.0,4.0,2.0,1.0,28.0,-12.0,1,3.1666666666666665,2023,05,03,2023,06,07,11,08,2023,01,09,2023,2023,04,29,2023,05,06,0
0,2,21,0,35,0,3.0,1.0,1.0,1.0,12.0,8.0,5.0,31.0,-9.0,1,3.0,2024,04,14,2024,05,05,11,09,2023,16,10,2023,2024,01,19,2024,01,26,0
1,2,35,0,28,1,6.0,9.0,9.0,1.0,10.0,3.0,10.0,48.0,8.0,0,3.1666666666666665,2023,08,11,2023,09,15,09,10,2023,06,11,2023,2023,05,22,2023,05,29,0
2,2,21,0,28,1,3.0,2.0,10.0,2.0,6.0,4.0,2.0,29.0,-11.0,1,3.0,2024,03,08,2024,03,29,13,07,2023,10,08,2023,2024,01,31,2024,02,07,0
0,2,28,0,35,1,9.0,5.0,4.0,3.0,5.0,4.0,1.0,31.0,-9.0,1,3.0,2023,10,30,2023,11,27,11,09,2023,16,10,2023,2024,02,10,2024,02,17,0
2,0,14,1,14,0,5.0,7.0,11.0,3.0,11.0,10.0,12.0,59.0,19.0,0,3.5,2023,08,17,2023,08,31,11,12,2023,25,12,2023,2023,08,26,2023,09,02,1
3,2,42,0,42,0,1.0,11.0,3.0,5.0,10.0,1.0,3.0,34.0,-6.0,1,4.166666666666667,2023,09,16,2023,10,28,14,03,2024,25,04,2024,2023,10,29,2023,11,05,0
0,0,42,0,28,1,2.0,2.0,3.0,10.0,1.0,2.0,5.0,25.0,-15.0,1,3.1666666666666665,2024,01,06,2024,02,17,18,11,2023,16,12,2023,2023,10,10,2023,10,17,0
2,2,14,1,42,0,9.0,7.0,2.0,4.0,1.0,8.0,2.0,33.0,-7.0,1,3.0,2023,04,22,2023,05,06,07,09,2023,19,10,2023,2023,12,18,2023,12,25,1
2,2,42,0,14,2,1.0,7.0,6.0,11.0,3.0,5.0,2.0,35.0,-5.0,0,2.6666666666666665,2023,10,22,2023,12,03,20,01,2024,03,02,2024,2023,10,05,2023,10,12,0
2,2,14,1,14,2,1.0,3.0,11.0,6.0,6.0,11.0,7.0,45.0,5.0,0,3.1666666666666665,2023,12,26,2024,01,09,11,12,2023,25,12,2023,2023,04,27,2023,05,04,1
2,0,28,0,35,2,11.0,1.0,5.0,7.0,11.0,4.0,5.0,44.0,4.0,0,3.3333333333333335,2024,02,16,2024,03,15,12,03,2024,16,04,2024,2023,06,05,2023,06,12,0
2,2,21,0,21,1,8.0,9.0,4.0,5.0,4.0,2.0,9.0,41.0,1.0,0,3.0,2024,03,22,2024,04,12,03,07,2023,24,07,2023,2023,12,26,2024,01,02,0
2,2,35,0,21,1,6.0,11.0,5.0,11.0,2.0,9.0,8.0,52.0,12.0,0,2.5,2023,06,08,2023,07,13,19,02,2024,11,03,2024,2023,11,17,2023,11,24,0
